Название,Описание,Жанр,Год,Страна,Теги/Эмоции,Ссылка
Чернобыль,"26 апреля 1986 года в 1:23:45 во время проведения эксперимента по безопасности на Чернобыльской АЭС происходит взрыв реактора и пожар. Поднятые по тревоге пожарные без спецзащиты прибывают на место аварии, не подозревая, что оказались в эпицентре крупнейшей в истории человечества техногенной катастрофы. Руководство ЧАЭС уверяет Кремль, что ситуация под контролем, и радиационный фон в норме, но по настоянию академика Легасова его вместе с зампредседателя Совета Министров Борисом Щербиной отправляют разобраться в происходящем на месте.",,1986,,,
Навальный,,Документальный,,,,
Карта убийств,,,,,,
Джек-потрошитель,,,,,,
Перестрелка  на Сидней-стрит,,,,,,
Синяя борода,,,,,,
Ландрю,,,,,,
Соломенный отравитель,,,,,,
Амелия Даер,,,,,,
Кливлендский мясник,,,,,,
Мэри Пирси,,,,,,
Убийства в Ричмонде,,,,,,
Кролик Джоджо,"Гитлеровская Германия. У немного стеснительного 10-летнего Йоханнеса Бетслера, члена Гитлерюгенда и большого поклонника официального курса, есть лучший друг - воображаемый Адольф Гитлер. Хоть мальчик сам ещё никак не научится завязывать шнурки, он отправляется на выходные в военно-патриотический лагерь, где, не решившись убить кролика, получает прозвище Кролик Джоджо. А после, пытаясь доказать окружающим свою смелость, парень случайно подрывается на гранате. Но вскоре у Джоджо появится более веская причина для волнения, чем собственные шрамы, - он выясняет, что мама прячет в доме еврейскую девушку.",,,Германия,,
Оценка,"События разворачиваются в мире будущего, пережившем разрушительные изменения климата. Правительство строго контролирует ресурсы, поэтому каждая пара, желающая завести ребенка, должна пройти проверку. Миа и Аарян подали заявку, которая позволит им стать родителями: несмотря на волнение, они считают, что готовы пойти на такой ответственный шаг. К паре приезжает оценщица Вирджиния, которая должна за семь дней изучить жизнь Мии и Ааряна, чтобы одобрить или отклонить их заявку. Но ее тесты оказываются на удивление шокирующими и вскоре становятся сущим психологическим кошмаром для пары.",,,,,
Побег из Собибора,,,,,,
Идиократия,,,,,,
Никому неизвестный герой,,,,,,
Гамлет,,,,,,
Король Лир,,,,,,
порядку,"Собибор - гитлеровский концлагерь на территории Польши, один из десятков нацистских лагерей смерти, построенных специально для уничтожения евреев из завоеванных немцами стран. Был закрыт по личному распоряжению СС Гиммлера после того, как в нем произошел самый массовый в истории лагерей смерти побег заключенных, решивших оказать сопротивление нацистскому «порядку». Основной замысел и организацию восстания взял на себя советский военнопленный - лейтенант Печерский…",,,Россия / СССР,,
"Лучшая жизнь - та, которую мы сами себе придумали","""Лучшая жизнь - та, которую мы сами себе придумали"", - так гласит слоган картины. Альбер Деусс всегда мечтал быть героем, но при этом влачил вполне обыденное существование провинциального буржуа, далекого от намека на храбрый поступок. Впрочем, после освобождения Франции в 1944 году он придумывает себе отличную биографию - ""задним числом"" вступает во французское Сопротивление и ""задним же числом"" делает в нем себе блестящую карьеру… Однако, фантазии могут быть не только светлыми и радостными…",,1944,Франция,,
задним числом,"""Лучшая жизнь - та, которую мы сами себе придумали"", - так гласит слоган картины. Альбер Деусс всегда мечтал быть героем, но при этом влачил вполне обыденное существование провинциального буржуа, далекого от намека на храбрый поступок. Впрочем, после освобождения Франции в 1944 году он придумывает себе отличную биографию - ""задним числом"" вступает во французское Сопротивление и ""задним же числом"" делает в нем себе блестящую карьеру… Однако, фантазии могут быть не только светлыми и радостными…",,1944,Франция,,
задним же числом,"""Лучшая жизнь - та, которую мы сами себе придумали"", - так гласит слоган картины. Альбер Деусс всегда мечтал быть героем, но при этом влачил вполне обыденное существование провинциального буржуа, далекого от намека на храбрый поступок. Впрочем, после освобождения Франции в 1944 году он придумывает себе отличную биографию - ""задним числом"" вступает во французское Сопротивление и ""задним же числом"" делает в нем себе блестящую карьеру… Однако, фантазии могут быть не только светлыми и радостными…",,1944,Франция,,
"... О страшных, Кровавых и безжалостных делах, Превратностях, убийствах по ошибке, Наказанном двуличье и к концу - О казнях пред развязкой, погубивших Виновников...","Экранизация одноименной трагедии У. Шекспира. «... О страшных, Кровавых и безжалостных делах, Превратностях, убийствах по ошибке, Наказанном двуличье и к концу - О казнях пред развязкой, погубивших Виновников...». Уильям Шекспир.",,,,,
Жить до 100: Секреты голубых зон,"Пять уникальных мест нашей планеты, где люди живут необычайно долгой и насыщенной жизнью, вместе с писателем Дэном Бюттнером…⬇️",Документальный,,,,
В долине Эла,"Фильм повествует об офицере, чей сын-солдат немотивированно отправляется в самоволку вскоре после возвращения в Штаты из Ирака, и исчезает без следа. Местный полицейский детектив берется помочь офицеру в расследовании...",,,,,
Милая Чарити,,Мюзикл,,,,
Опасный поворот,,Мюзикл,,,,
Дальше -тишина,,Мюзикл,,,,
Грязные танцы,,Мюзикл,,,,
Ночи Кабирии,"Ширли МакЛэйн в популярнейшем бродвейском мюзикле, воплощенном на киноэкране известным танцовщиком и хореографом Бобом Фоссом. Этот фильм - его первая режиссерская работа, ставшая римейком великой ленты Федерико Феллини ""Ночи Кабирии"". История восторженной хозяйки нью-йоркского зала платных танцев Черити со звучной фамилией Хоуп-Валентайн, которая постоянно влюбляется и постоянно оказывается обманутой. Мужчины в её жизни - это только череда коротких встреч, разочарований и разлук. Однажды она застревает в лифте с Оскаром, скромным страховым клерком, страдающим от клаустрофобии, и между ними вспыхивает пылкая и возвышенная любовь. Но Оскар не знает, кем работает его избранница… Главная роль - Ширли МакЛейн.",Мюзикл,,,,
Дальше-тишина,,,,,,
Уступи место завтрашнему дню,,,,,,
грязных танцев,"Лето 1963 года. 17-летняя Фрэнсис по прозвищу Бэби, невинная избалованная девушка из обеспеченной семьи, проводит каникулы с родителями в курортном отеле. Она знакомится с Джонни, красивым профессиональным танцором, искушенным в вопросах жизни и любви. Словно околдованная сексуальными ритмами и ничем не сдерживаемыми движениями «грязных танцев» в стиле ритм-энд-блюз, Бэби становится ученицей-партнершей Джонни - и в танцах, и в любви. Главные роли - Дженнифер Грей и Патрик Суэйзи.",,1963,,,
Современник,,Документальный,,,,
Обыкновенная история,,Документальный,,,,
Чёрный чемодан – двойная игра,"Высококлассные агенты разведки Джордж и Кэтрин счастливо женаты много лет. Преданные друг другу не меньше, чем работе, они научились находить баланс между работой и личной жизнью. Но однажды Джорджу сообщают, что Кэтрин - главная подозреваемая в государственном преступлении. Теперь мужчине придется решить, кому он больше предан - своему браку или стране.",,,,,
Бельмондо глазами Бельмондо,,Документальный,,,,
На последнем дыхании,,Документальный,,,,
Борсалино,,Документальный,,,,
Борсалино и компания,,Документальный,,,,
Професионал,,Документальный,,,,
Профессионал,,,,,,
Холланд,"2000 год. В окружении мельниц и тюльпанов Нэнси счастливо живёт в городке Холланд штата Мичиган, где чтят нидерландские культурные традиции. Женщина работает в местной школе, у неё прекрасный дом, любящий муж-оптометрист и замечательный сын. Очередная поездка супруга на медицинскую конференцию вызывает у неё подозрение, что тот завёл интрижку на стороне, и с помощью коллеги-учителя Нэнси начинает расследование…",Триллер,2000,,,
"The Prize, или Нобелевская премия","По одноименному роману Ирвинга Уоллеса. В Стокгольм прибывает нобелевский лауреат по литературе молодой писатель Эндрю Крэйг, больше увлекавшийся выпивкой и девушками, нежели литературной деятельностью. Также на торжественное вручение приезжает лауреат в области физики, доктор Макс Стрэтмэн, немецко-американский физик, которого сопровождает молодая и очаровательная племянница Эмили. Оба лауреата оказываются в одном отеле, и вскоре Крэйг замечает, что доктор Стрэтмэн ведет себя слишком странно...",Триллер,,США,,
Заговор против Америки,"Знаменитый пилот и приверженец изоляционизма Чарльз Линдберг победил на выборах в 1940 году и стал новым президентом США. С приходом Линдберга к власти в стране расцветает антисемитизм. Президент публично обвиняет евреев в попытке втянуть страну в войну с нацистской Германией и договаривается с Адольфом Гитлером о невмешательстве. Пока из радиоприёмников разносятся громкие речи Линдберга, молодой Филип Рот и его родные, и близкие с ужасом наблюдают, как идеология нового президента готовится разрушить их жизнь.",,1940,США,,
Фантик. Первобытная сказка,,Анимация,,,,
Союзмультфильм,,Анимация,,,,
Афера Стивена Гласса,"Подлинная история молодого журналиста Стивена Гласса, который в середине 90-х зарекомендовал себя одним из самых бойких журналистов в стране, оказавшись сотрудником таких солидных изданий, как Rolling Stone и The New Republic. Скандал разразился тогда, когда Гласса поймали на жульничестве: он частенько подтасовывал факты, придумывал то, чего не было, вставлял в статьи не существующие цитаты и, порой, целиком придумывал те истории, которые выдавал за подлинные. За эти проделки Гласс был вынужден распрощаться со своей карьерой…",,,,,
Легенда о пианисте,"Вскоре после Второй мировой войны бывший музыкант Макс приходит в магазин музыкальных инструментов чтобы продать свою трубу. Напоследок он играет на любимом инструменте, и владелец магазина узнаёт мелодию, обнаруженную на неизданной и восстановленной из осколков матрице записи, найденной в рояле, снятом с ранее круизного, а в годы войны – госпитального судна, а теперь намеченного к уничтожению. Это случайное открытие начинает рассказ Макса истории-легенды…",,,,,
Точка кипения,,Драма,,,,
Поющие в терновнике,"Порой любовь бывает жестока - неумолимо преследует нас, даруя ложные надежды и заставляя ожидать того единственного, которому не суждено быть рядом... Фильм собрал звездный актерский состав: Ричард Чемберлен, Барбара Стэнвик, Кристофер Пламмер, Джин Симмонс, Рейчел Уорд, Пайпер Лори.⬇️",,,,,
Весна,,,,,,
Чудеса,,,,,,
Где бы ты ни был,,,,,,
